"TFC","TS","TFCD","TCDR","TET","TW","TI","TPL","TPLA","TOS","THW","TDAQ","TPOW","TCORR","TLOG","TEQS","TEQC","TCLK","TFSM","TANN","TDLIB","TDLIBXLD","TIL(0)"
0,0,0,0.000000,0.000000,0.176600,0.160900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000600,0.000000,0.000000,
0,1,0,0.000000,15.714900,0.036000,0.024500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0,2,0,0.000000,1012.597800,0.033700,0.023600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,3,0,0.000000,2015.160500,0.035900,0.025300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,4,0,0.000000,3014.859200,0.035800,0.024700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,5,0,0.000000,4016.674900,0.163600,0.152600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,6,0,0.000000,5021.162900,0.078000,0.066300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,7,0,0.000000,6026.061900,0.051300,0.037000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,8,0,0.000000,7026.010600,0.080500,0.067600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,9,0,0.000000,8025.134400,0.038200,0.027100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,10,0,0.999959,9023.178200,0.040600,0.029600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020500,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
0,11,0,0.999959,10023.447000,0.053400,0.039500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020700,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
0,12,0,0.999959,11026.603700,0.107200,0.096000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020700,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
0,13,0,0.999959,12026.211900,0.076900,0.065200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021100,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
0,14,0,0.999959,13030.148300,0.096800,0.082700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021500,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
0,15,0,0.999959,14031.355500,0.062600,0.049200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020600,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
0,16,0,0.999959,15033.562900,0.050200,0.039300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020300,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
